"id","postcode","place_name","state_name","state_code","latitude","longitude"
8225,"3911",BAXTER,BAXTER DELIVERY ANNEXE,VIC,-38.1949997,145.158005
8226,"3911",LANGWARRIN SOUTH,BAXTER DELIVERY ANNEXE,VIC,-38.1980019,145.182007
8227,"3912",PEARCEDALE,SOMERVILLE DC,VIC,-38.2019997,145.231995
8228,"3912",SOMERVILLE,SOMERVILLE DC,VIC,-38.2229996,145.175003
8229,"3913",TYABB,TYABB DELIVERY ANNEXE,VIC,-38.2589989,145.186005
8230,"3915",HASTINGS,HASTINGS DELIVERY CENTRE,VIC,-3.82999992,145.190002
8231,"3915",TUERONG,HASTINGS DELIVERY CENTRE,VIC,-38.2970009,145.076996
8232,"3916",MERRICKS,HASTINGS DELIVERY CENTRE,VIC,-38.3919983,145.085007
8233,"3916",POINT LEO,HASTINGS DELIVERY CENTRE,VIC,-38.4160004,145.074997
8234,"3916",SHOREHAM,HASTINGS DELIVERY CENTRE,VIC,-38.4269981,145.044006
8235,"3918",BITTERN,BITTERN,VIC,-38.3370018,145.177002
8236,"3919",CRIB POINT,CRIB POINT,VIC,-38.3660011,145.203995
8237,"3921",FRENCH ISLAND,TANKERTON,VIC,-38.3419991,145.337997
8238,"3921",TANKERTON,TANKERTON,VIC,-38.3849983,145.289993
8239,"3922",COWES,COWES,VIC,-38.4500008,145.238998
8240,"3922",SILVERLEAVES,COWES,VIC,-38.4519997,145.272995
8241,"3922",SMITHS BEACH,COWES,VIC,-38.4980011,145.272995
8242,"3922",SUMMERLANDS,COWES,VIC,-38.5060005,145.145004
8243,"3922",SUNDERLAND BAY,COWES,VIC,-38.507,145.276993
8244,"3922",SUNSET STRIP,COWES,VIC,-38.4970016,145.261993
8245,"3922",SURF BEACH,COWES,VIC,-3.85100007,145.296005
8246,"3922",VENTNOR,COWES,VIC,-38.4589996,14.5190001
8247,"3922",WIMBLEDON HEIGHTS,COWES,VIC,-38.4799995,145.238998
8248,"3923",RHYLL,RHYLL,VIC,-38.4599991,145.307007
8249,"3925",CAPE WOOLAMAI,SAN REMO,VIC,-3.85400009,145.339996
8250,"3925",CHURCHILL ISLAND,SAN REMO,VIC,-3.84899998,145.337006
8251,"3925",NEWHAVEN,SAN REMO,VIC,-38.5139999,145.356995
8252,"3925",SAN REMO,SAN REMO,VIC,-38.5200005,145.373001
8253,"3926",BALNARRING,BALNARRING,VIC,-38.3730011,145.126007
8254,"3926",BALNARRING BEACH,BALNARRING,VIC,-38.3880005,14.5120001
8255,"3926",MERRICKS BEACH,BALNARRING,VIC,-38.401001,14.5100002
8256,"3926",MERRICKS NORTH,BALNARRING,VIC,-38.3530006,14.5080004
8257,"3927",SOMERS,SOMERS,VIC,-38.3829994,145.147003
8258,"3928",MAIN RIDGE,ROSEBUD DC,VIC,-38.4000015,144.970001
8259,"3929",FLINDERS,HASTINGS DELIVERY CENTRE,VIC,-38.4729996,14.5010004
8260,"3930",KUNYUNG,MORNINGTON DELIVERY CENTRE,VIC,-38.1910019,145.078995
8261,"3930",MOUNT ELIZA,MORNINGTON DELIVERY CENTRE,VIC,-38.1870003,145.089005
8262,"3931",MORNINGTON,MORNINGTON DELIVERY CENTRE,VIC,-38.237999,145.063995
8263,"3933",MOOROODUC,MORNINGTON DELIVERY CENTRE,VIC,-38.2369995,145.087006
8264,"3934",MOUNT MARTHA,MORNINGTON DELIVERY CENTRE,VIC,-38.3019981,144.994003
8265,"3936",ARTHURS SEAT,ROSEBUD DC,VIC,-38.3540001,144.949005
